DATETIME,GHI,DNI,DHI,CLOUD_OPACITY,AIR_TEMP,QGEN
2019-12-01 01:00:00,0,0,0,60,9.4,0.0
2019-12-01 02:00:00,0,0,0,60,9.2,0.0
2019-12-01 03:00:00,0,0,0,52,9.1,0.0
2019-12-01 04:00:00,0,0,0,91,9.1,0.0
2019-12-01 05:00:00,0,0,0,91,9.1,0.0
2019-12-01 06:00:00,0,0,0,90,9.1,0.0
2019-12-01 07:00:00,0,0,0,89,8.8,0.0
2019-12-01 08:00:00,10,0,10,68,8.6,0.0
2019-12-01 09:00:00,32,0,32,81,8.5,0.0
2019-12-01 10:00:00,71,0,71,78,8.2,1.0
2019-12-01 11:00:00,73,0,73,84,7.9,9.0
2019-12-01 12:00:00,55,0,55,89,7.6,7.0
2019-12-01 13:00:00,51,0,51,90,7.6,11.0
2019-12-01 14:00:00,94,0,94,80,7.9,4.0
2019-12-01 15:00:00,52,0,52,86,8.2,3.0
2019-12-01 16:00:00,47,0,47,79,8.3,2.0
2019-12-01 17:00:00,26,0,26,59,8.5,0.0
2019-12-01 18:00:00,0,0,0,59,8.9,0.0
2019-12-01 19:00:00,0,0,0,90,9.2,0.0
2019-12-01 20:00:00,0,0,0,77,9.0,0.0
2019-12-01 21:00:00,0,0,0,62,8.8,0.0
2019-12-01 22:00:00,0,0,0,49,8.9,0.0
2019-12-01 23:00:00,0,0,0,60,9.3,0.0
2019-12-02 00:00:00,0,0,0,64,9.6,0.0
2019-12-02 01:00:00,0,0,0,46,9.9,0.0
2019-12-02 02:00:00,0,0,0,45,9.7,0.0
2019-12-02 03:00:00,0,0,0,48,9.4,0.0
2019-12-02 04:00:00,0,0,0,61,8.8,0.0
2019-12-02 05:00:00,0,0,0,59,8.4,0.0
2019-12-02 06:00:00,0,0,0,57,8.2,0.0
2019-12-02 07:00:00,0,0,0,31,8.1,0.0
2019-12-02 08:00:00,19,0,19,33,7.6,0.0
2019-12-02 09:00:00,89,44,78,51,7.9,24.0
2019-12-02 10:00:00,148,0,148,57,8.3,53.0
2019-12-02 11:00:00,248,249,128,47,8.0,107.0
2019-12-02 12:00:00,231,56,201,57,7.9,104.0
2019-12-02 13:00:00,202,51,174,63,8.2,122.0
2019-12-02 14:00:00,201,1,201,59,7.8,155.0
2019-12-02 15:00:00,291,152,228,22,7.8,92.0
2019-12-02 16:00:00,84,10,81,65,7.7,47.0
2019-12-02 17:00:00,41,8,40,33,7.5,10.0
2019-12-02 18:00:00,0,0,0,4,6.8,0.0
2019-12-02 19:00:00,0,0,0,31,6.1,0.0
2019-12-02 20:00:00,0,0,0,17,5.5,0.0
2019-12-02 21:00:00,0,0,0,4,5.8,0.0
2019-12-02 22:00:00,0,0,0,31,5.9,0.0
2019-12-02 23:00:00,0,0,0,31,5.8,0.0
2019-12-03 00:00:00,0,0,0,29,5.8,0.0
2019-12-03 01:00:00,0,0,0,0,5.8,0.0
2019-12-03 02:00:00,0,0,0,0,6.0,0.0
2019-12-03 03:00:00,0,0,0,4,6.4,0.0
2019-12-03 04:00:00,0,0,0,31,6.5,0.0
2019-12-03 05:00:00,0,0,0,31,6.4,0.0
2019-12-03 06:00:00,0,0,0,27,6.4,0.0
2019-12-03 07:00:00,0,0,0,0,6.6,0.0
2019-12-03 08:00:00,31,129,20,1,6.8,2.0
2019-12-03 09:00:00,176,422,84,10,7.1,84.0
2019-12-03 10:00:00,110,0,110,70,7.3,36.0
2019-12-03 11:00:00,431,495,191,13,7.6,152.0
2019-12-03 12:00:00,228,0,228,60,7.7,123.0
2019-12-03 13:00:00,88,0,88,85,7.8,32.0
2019-12-03 14:00:00,161,0,161,69,8.0,63.0
2019-12-03 15:00:00,285,153,221,30,8.5,86.0
2019-12-03 16:00:00,164,27,156,34,8.7,46.0
2019-12-03 17:00:00,51,29,48,26,8.8,17.0
2019-12-03 18:00:00,0,0,0,1,8.8,0.0
2019-12-03 19:00:00,0,0,0,0,8.9,0.0
2019-12-03 20:00:00,0,0,0,8,8.7,0.0
2019-12-03 21:00:00,0,0,0,15,8.4,0.0
2019-12-03 22:00:00,0,0,0,0,8.1,0.0
2019-12-03 23:00:00,0,0,0,0,8.1,0.0
2019-12-04 00:00:00,0,0,0,0,8.2,0.0
2019-12-04 01:00:00,0,0,0,0,8.3,0.0
